token_address,TokenName
0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,Melon Token (MLN)
0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share (FXS)
0xEC213F83defB583af3A000B1c0ada660b1902A0F,Presearch (PRE)
0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,Aurora DAO (AURA)
0xD417144312DbF50465b1C641d016962017Ef6240,Covalent Query Token (CQT)
0xa117000000f279D81A1D3cc75430fAA017FA5A2e,Aragon Network Token (ANT)
0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,Trace (TRAC)
0x595832F8FC6BF59c85C527fEC3740A1b7a361269,PowerLedger (POWR)
0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,Ankr Eth2 Reward Bearing Certificate (aETHc)
0x08d967bb0134F2d07f7cfb6E246680c53927DD30,MATH Token (MATH)
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,Synth sUSD (sUSD)
0x7B0C06043468469967DBA22d1AF33d77d44056c8,Morpheus.Network (MRPH)
0xdd974D5C2e2928deA5F71b9825b8b646686BD200,KyberNetwork (KNC)
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,EthLend (LEND)
0x26E75307Fc0C021472fEb8F727839531F112f317,Crypto20 (C20)
0x6c28AeF8977c9B773996d0e8376d2EE379446F2f,Quickswap (QUICK)
0x818Fc6C2Ec5986bc6E2CBf00939d90556aB12ce5,Kin (KIN)
0x8f8221aFbB33998d8584A2B05749bA73c37a938a,Request (REQ)
0x5228a22e72ccC52d415EcFd199F99D0665E7733b,pTokens BTC (pBTC)
0x8806926Ab68EB5a7b909DcAf6FdBe5d93271D6e2,Uquid Coin (UQC)
0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d,MCO (MCO)
0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407,Compound 0x (cZRX)
0x389999216860AB8E0175387A0c90E5c52522C945,FEGtoken (FEG)
0xDF2C7238198Ad8B389666574f2d8bc411A4b7428,Mainframe Token (MFT)
0x115eC79F1de567eC68B7AE7eDA501b406626478e,CarryToken (CRE)
