token_address,decimals
0xD46bA6D942050d489DBd938a2C909A5d5039A161,9
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18
0x9Cb2f26A23b8d89973F08c957C4d7cdf75CD341c,6
0x5A844590c5b8f40ae56190771d06c60b9ab1Da1C,18
0xcD62b1C403fa761BAadFC74C525ce2B51780b184,18
0xB4EFd85c19999D84251304bDA99E90B92300Bd93,18
0x737F98AC8cA59f2C68aD658E3C3d8C8963E40a4c,18
0x9469D013805bFfB7D3DEBe5E7839237e535ec483,18
0x0Cf0Ee63788A0849fE5297F3407f701E122cC023,18
0x1BeEF31946fbbb40B877a72E4ae04a8D1A5Cee06,18
0x0000000000b3F879cb30FE243b4Dfee438691c04,2
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,18
0x667088b212ce3d06a1b553a7221E1fD19000d9aF,18
0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704,18
0x7CaD0Ed5A0B71C726353a6BaD37bA7cFa4cE0E60,18
0xE41d2489571d322189246DaFA5ebDe1F4699F498,18
0x740623d2c797b7D8D1EcB98e9b4Afcf99Ec31E14,18
0xea5f88E54d982Cbb0c441cde4E79bC305e5b43Bc,18
0x625aE63000f46200499120B906716420bd059240,18
0xDF2C7238198Ad8B389666574f2d8bc411A4b7428,18
0xB6eD7644C69416d67B522e20bC294A9a9B405B31,8
0x1f8C584824606D006b3A295B5b696617725521D5,18
0x25B63bcA43914b7d7CcD59892b762c06493a04E6,4
0x0Ba45A8b5d5575935B8158a88C631E9F9C95a2e5,ERR
0x1Cb3209D45B2a60B7fBCA1cCDBF87f674237A4aa,4
0x40FD72257597aA14C7231A7B1aaa29Fce868F677,18
0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,18
0xdAC17F958D2ee523a2206206994597C13D831ec7,6
0xd9D4A7CA154fe137c808F7EEDBe24b639B7AF5a6,8
0x515bA0a2E286AF10115284F151cF398688A69170,18
0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,18
0x08130635368AA28b217a4dfb68E1bF8dC525621C,4
0x697eF32B4a3F5a4C39dE1cB7563f24CA7BfC5947,18
0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,8
0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,18
0xbF4a2DdaA16148a9D0fA2093FfAC450ADb7cd4aa,2
0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,18
0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18
0x5228a22e72ccC52d415EcFd199F99D0665E7733b,18
0x2F141Ce366a2462f02cEA3D12CF93E4DCa49e4Fd,18
0x4156D3342D5c385a87D264F90653733592000581,8
0x8A9C67fee641579dEbA04928c4BC45F66e26343A,18
0xaD5Fe5B0B8eC8fF4565204990E4405B2Da117d8e,0
0x4a57E687b9126435a9B19E4A802113e266AdeBde,18
0xCc394f10545AeEf24483d2347B32A34a44F20E6F,18
0x1985365e9f78359a9B6AD760e32412f4a445E862,18
0x607F4C5BB672230e8672085532f7e901544a7375,9
0xe25b0BBA01Dc5630312B6A21927E578061A13f55,18
0x7a5b6651008108a49e07f4D601215c4374005C90,18
0x0000000000085d4780B73119b644AE5ecd22b376,18
0xF970b8E36e23F7fC3FD752EeA86f8Be8D83375A6,18
0x1dFEc1Cf1336c572c2D2E34fe8F6Aa2F409C8251,18
0x047686fB287e7263A23873dEa66b4501015a2226,18
0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,18
0xCeD4E93198734dDaFf8492d525Bd258D49eb388E,18
0x679131F591B4f369acB8cd8c51E68596806c3916,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,18
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,18
0xDcfE18bc46f5A0Cd0d3Af0c2155d2bCB5AdE2fc5,4
0x8f8221aFbB33998d8584A2B05749bA73c37a938a,18
0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,18
0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206,18
0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d,8
0xD8a8843b0a5aba6B030E92B3F4d669FaD8A5BE50,4
0x55296f69f40Ea6d20E478533C15A6B08B654E758,18
0x37236CD05b34Cc79d3715AF2383E96dd7443dCF1,0
0xF8F237D074F637D777bcD2A4712bde793f94272B,10
0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,18
0xD6a55C63865AffD67E2FB9f284F87b7a9E5FF3bD,18
0x42d6622deCe394b54999Fbd73D108123806f6a18,18
0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,8
0x4C6F4d435A939FB85Dd946baE4eeC9D52587F451,18
0xD2d01dd6Aa7a2F5228c7c17298905A7C7E1dfE81,18
0x4Cd988AfBad37289BAAf53C13e98E2BD46aAEa8c,18
0x4f3AfEC4E5a3F2A6a1A411DEF7D7dFe50eE057bF,9
0xa16001DD47f505B7B7c5639c710A52209E4e8904,18
0x44F00918A540774b422a1A340B75e055fF816d83,8
0x81AADA684F4Bd51252c8184148A78e7E4B44dc2c,18
0x7D5Edcd23dAa3fB94317D32aE253eE1Af08Ba14d,2
0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,18
